2018-03-20__20:40:28 927M 783M 84.4660.2265%
2018-03-20__20:41:35 927M 777M 83.8188%
2018-03-20__20:41:37 927M 761M 82.0928%
2018-03-20__20:41:42 927M 777M 83.8188%
2018-03-20__20:41:43 927M 760M 81.9849 77.8856%
2018-03-20__20:41:48 927M 776M 83.7109%
2018-03-20__20:41:50 927M 760M 81.9849%
2018-03-20__20:41:56 927M 759M 81.7691%
2018-03-20__20:42:03 927M 757M 81.66135782%
2018-03-20__20:42:09 927M 757M 81.6613%
2018-03-20__20:42:15 927M 757M 81.6613%
2018-03-20__20:42:22 927M 756M 81.5534%
2018-03-20__20:42:28 927M 755M 81.4455%
2018-03-20__20:42:35 927M 755M 81.4455%
2018-03-20__20:42:41 927M 754M 81.3376%
2018-03-20__20:42:48 927M 753M 81.2298%
2018-03-20__20:42:54 927M 752M 81.1219%
2018-03-20__20:43:00 927M 751M 81.0149633%
2018-03-20__20:43:07 927M 751M 81.014%
2018-03-20__20:43:13 927M 751M 81.014%
2018-03-20__20:43:20 927M 750M 80.9061%
0__20:43:2018-03-23__10:11:08 927M 764M 82.524378.2956%
2018-03-23__10:11:14 927M 764M 82.4164%
2018-03-23__10:12:32 927M 765M 82.5243%
2018-03-23__10:12:38 927M 764M 82.4164%
2018-03-23__10:12:44 927M 764M 82.4164931%
2018-03-23__10:12:51 927M 763M 82.3085%
2018-03-23__10:12:57 927M 763M 82.2006%
2018-03-23__10:13:04 927M 762M 82.2006%
2018-03-23__10:13:10 927M 761M 82.0928%
2018-03-23__10:13:17 927M 761M 81.9849 77.8856%
2018-03-23__10:13:23 927M 760M 81.877%
2018-03-23__10:13:29 927M 759M 81.877%
2018-03-23__10:13:36 927M 759M 81.877%
2018-03-23__10:13:42 927M 758M 81.76917%
2018-03-23__10:13:49 927M 757M 81.6613%
2018-03-23__10:13:55 927M 757M 81.6613%
2018-03-23__10:14:02 927M 756M 81.5534%
2018-03-23__10:14:08 927M 755M 81.4455%
2018-03-23__10:14:14 927M 754M 81.33767.2707%
2018-03-23__10:14:21 927M 754M 81.3376%
2018-03-23__10:14:27 927M 754M 81.3376%
2018-03-23__10:14:34 927M 753M 81.2298%
2018-03-23__10:14:40 927M 752M 81.121958%
2018-03-23__10:14:47 927M 752M 81.1219%
2018-03-23__10:14:53 927M 751M 81.014%
2018-03-23__10:14:59 927M 750M 80.7983%
2018-03-23__10:15:06 927M 749M 80.7983%
2018-03-23__10:15:12 927M 748M 80.69046.6559%
2018-03-23__10:15:19 927M 747M 80.5825%
2018-03-23__10:15:25 927M 747M 80.5825%
2018-03-23__10:15:32 927M 747M 80.5825%
2018-03-23__10:15:38 927M 746M 80.474609%
2018-03-23__10:15:44 927M 745M 80.3668%
2018-03-23__10:15:51 927M 744M 80.2589%
2018-03-23__10:15:57 927M 743M 80.151%
2018-03-23__10:16:04 927M 743M 80.151%
2018-03-23__10:16:10 927M 742M 80.0431.0410%
2018-03-23__10:19:56 927M 759M 81.877%
2018-03-23__10:20:18 927M 764M 82.4164%
2018-03-23__10:22:36 927M 760M 81.9849%
2018-03-23__10:23:32 927M 760M 81.9849%
2018-03-23__10:26:23 927M 765M 82.5243%
2018-03-23__10:27:10 927M 764M 82.4164%
2018-03-23__10:27:16 927M 764M 82.4164%
2018-03-23__10:27:23 927M 764M 82.3085%
2018-03-23__10:27:30 927M 763M 82.3085.1931%
2018-03-23__10:27:36 927M 762M 82.2006%
2018-03-23__10:34:41 927M 765M 82.4164%
2018-03-23__10:34:41 927M 763M 78.2794%
2018-03-23__10:82.4164%
